depart1 | time: 337.194092
arrive1 | time: 337.773743
arrive1 | time: 337.842529
arrive1 | time: 338.166168
depart1 | time: 338.182312
arrive2 | time: 338.200043
depart1 | time: 338.258423
arrive1 | time: 338.288727
arrive2 | time: 339.460999
depart1 | time: 339.898499
depart1 | time: 340.213928
arrive2 | time: 340.425720
arrive1 | time: 342.231079
depart1 | time: 342.351898
arrive1 | time: 342.668152
depart1 | time: 342.736237
arrive1 | time: 343.171326
arrive1 | time: 345.292786
arrive1 | time: 345.422729
depart1 | time: 346.373291
arrive2 | time: 346.521027
arrive1 | time: 347.013550
arrive1 | time: 347.186310
depart1 | time: 347.575348
arrive1 | time: 347.859772
arrive1 | time: 347.999817
arrive1 | time: 348.642578
arrive2 | time: 348.729218
arrive1 | time: 349.167633
depart1 | time: 349.271088
arrive1 | time: 349.505219
depart1 | time: 350.053436
depart1 | time: 350.123322
depart1 | time: 350.232178
depart1 | time: 350.779388
arrive1 | time: 350.786255
arrive2 | time: 350.972839
depart1 | time: 351.108765
depart1 | time: 351.137939
depart1 | time: 351.748383
arrive1 | time: 351.834290
arrive1 | time: 351.985260
arrive1 | time: 352.044189
depart1 | time: 352.045410
depart1 | time: 352.594055
arrive1 | time: 353.623932
arrive2 | time: 354.047485
depart1 | time: 354.121307
depart1 | time: 354.775696
depart1 | time: 354.889954
arrive1 | time: 355.257294
arrive2 | time: 355.494324
arrive1 | time: 356.008881
arrive1 | time: 356.761658
depart1 | time: 357.094177
arrive2 | time: 357.540558
depart1 | time: 358.138000
arrive1 | time: 359.470306
depart1 | time: 359.530945
arrive2 | time: 359.750854
arrive1 | time: 360.041504
depart1 | time: 361.089661
arrive2 | time: 361.116547
arrive1 | time: 361.537659
depart1 | time: 363.402557
depart1 | time: 364.449432
arrive1 | time: 364.589508
depart1 | time: 364.950012
arrive2 | time: 365.290161
arrive1 | time: 365.318359
depart1 | time: 365.660522
arrive1 | time: 365.692474
arrive1 | time: 365.720032
depart1 | time: 366.953247
depart1 | time: 366.982300
arrive2 | time: 367.653992
arrive1 | time: 367.732513
arrive1 | time: 367.818024
arrive1 | time: 368.329407
arrive1 | time: 368.981659
